IDNAME,RA,Dec,z,LookbackTime,SFR,F250,NAME_IAU,Feature
G15.DR1.47967,212.410599,1.475613,3.96296835,12.1152344,13761.6475,0.027509,HATLAS J140938.5+012832,-
G15.DR1.480,213.931427,0.727037013,0.784601152,6.76068449,785.384705,0.105793,HATLAS J141543.5+004337,-
G15.DR1.4801,214.07634,0.398972988,2.34387803,10.8449516,4369.75098,0.047062,HATLAS J141618.3+002356,-
G15.DR1.48015,216.085938,1.37358201,3.00071788,11.5114841,5129.28125,0.027097,HATLAS J142420.6+012224,-
G15.DR1.48031,218.991669,-0.758023024,2.26558423,10.7436323,2395.97168,0.02826,HATLAS J143557.9-004528,-
G15.DR1.4804,216.980988,1.04425502,3.18791556,11.6558619,10336.1953,0.044985,HATLAS J142755.4+010239,-
G15.DR1.48046,217.822037,1.31828904,3.53121543,11.8831587,8829.58496,0.02716,HATLAS J143117.2+011905,-
G15.DR1.4805,215.164276,-0.224322006,0.58632803,5.61494875,198.002365,0.04759,HATLAS J142039.4-001327,-
G15.DR1.48050,215.957626,-0.466077,2.04064512,10.4174376,1890.21594,0.029273,HATLAS J142349.8-002757,-
G15.DR1.4806,221.234665,0.145015001,0.298649997,3.38276458,53.4005356,0.047217,HATLAS J144456.3+000842,-
G15.DR1.4808,213.661057,0.485231996,1.76879907,9.93824196,2829.51709,0.062641,HATLAS J141438.6+002906,-
G15.DR1.4812,215.252899,0.0499010012,0.344359994,3.79309177,93.0009003,0.062683,HATLAS J142100.6+000259,-
G15.DR1.4816,220.68335,1.38220096,0.780094981,6.73743105,357.891235,0.048711,HATLAS J144244.0+012255,-
G15.DR1.48168,218.763046,0.149474993,4.10416174,12.1808224,15110.3291,0.02626,HATLAS J143503.1+000858,-
G15.DR1.4817,214.799835,-0.142072007,1.0585326,7.97781515,630.345337,0.045245,HATLAS J141911.9-000831,-
G15.DR1.4818,212.285553,-0.852638006,2.45840311,10.9833307,6472.16162,0.061161,HATLAS J140908.5-005109,-
G15.DR1.48184,213.474945,0.485341012,0.588751972,5.63063431,123.767136,0.029598,HATLAS J141353.9+002907,-
G15.DR1.48187,212.888107,1.25768995,1.21115196,8.51801395,521.020325,0.027834,HATLAS J141133.1+011527,-
